Месяц,x1,x2,x2_origin,x3,dx1,dx2,dx3,y
Июнь,8.11,0.2,0.2,30,3.04,1103.06,-0.96,119.03
Июнь,8.11,0.36,0.36,30.0,18.05,1103.06,-0.96,295.52
Июнь,8.11,0.52,0.52,30.0,33.05,1103.06,-0.96,472.01
Июль,7.65,0.2,0.2,30.0,3.04,1059.92,-0.81,117.64
Июль,7.65,1.26,0.2,30.0,102.45,1060.2,-0.82,1241.37
Июль,7.76,2.32,0.2,30.0,201.89,1069.81,-0.85,2386.08
Июль,7.96,3.39,0.2,29.99,302.23,1088.75,-0.91,3591.6
Июль,7.65,0.36,0.36,29.99,18.05,1059.92,-0.81,287.23
Июль,7.67,1.42,0.36,29.99,117.46,1061.61,-0.82,1412.77
Июль,7.79,2.48,0.36,29.99,217.03,1072.63,-0.86,2565.28
Июль,8.0,3.55,0.36,29.99,317.64,1092.98,-0.92,3784.74
Июль,7.65,0.52,0.52,29.99,33.06,1059.92,-0.81,456.82
Июль,7.68,1.58,0.52,29.99,132.47,1063.02,-0.82,1584.62
Июль,7.82,2.64,0.52,29.99,232.17,1075.44,-0.87,2745.38
Июль,8.05,3.72,0.52,29.99,333.04,1097.22,-0.94,3979.28
Авг,6.86,0.2,0.2,29.99,3.04,985.82,-0.57,115.24
Авг,6.86,1.19,0.2,29.99,95.51,986.11,-0.57,1087.37
Авг,6.96,2.17,0.2,29.99,188.0,995.06,-0.6,2077.73
Авг,7.15,3.17,0.2,29.99,281.33,1012.7,-0.66,3120.77
Авг,7.43,4.18,0.2,29.98,376.31,1039.08,-0.75,4252.19
Авг,7.8,5.22,0.2,29.98,473.77,1074.38,-0.86,5510.17
Авг,6.86,0.36,0.36,29.98,18.05,985.82,-0.57,272.98
Авг,6.88,1.35,0.36,29.98,110.51,987.51,-0.58,1246.81
Авг,6.99,2.33,0.36,29.98,203.14,997.88,-0.61,2244.44
Авг,7.19,3.33,0.36,29.98,296.73,1016.93,-0.67,3300.48
Авг,7.49,4.35,0.36,29.98,392.11,1044.76,-0.76,4450.98
Авг,7.88,5.39,0.36,29.98,490.1,1081.54,-0.89,5734.69
Авг,6.86,0.52,0.52,29.98,33.06,985.82,-0.57,430.71
Авг,6.89,1.51,0.52,29.98,125.52,988.92,-0.58,1406.7
Авг,7.02,2.49,0.52,29.98,218.28,1000.69,-0.62,2412.06
Авг,7.24,3.5,0.52,29.98,312.13,1021.17,-0.69,3481.58
Авг,7.55,4.52,0.52,29.98,407.91,1050.44,-0.78,4651.69
Авг,7.96,5.57,0.52,29.98,506.44,1088.7,-0.91,5961.7
Март,4.77,0.2,0.2,45,-1.61,789.79,0.08,110.06
Март,4.77,0.99,0.2,45.0,72.47,789.64,0.08,733.71
Март,4.84,1.78,0.2,45.0,146.53,796.44,0.06,1367.87
Март,4.99,2.58,0.2,45.0,221.23,810.18,0.01,2034.6
Март,5.21,3.39,0.2,45.0,297.22,830.93,-0.06,2756.74
Март,5.51,4.22,0.2,45.0,375.15,858.81,-0.15,3558.69
Март,5.88,5.08,0.2,45.0,455.7,894.0,-0.27,4467.2
Март,6.34,5.97,0.2,45.0,539.55,936.74,-0.41,5512.31
Март,6.88,6.91,0.2,45.0,627.41,987.34,-0.57,6728.31
Март,7.5,7.89,0.2,45.0,720.02,1046.19,-0.77,8154.91
Март,4.77,0.36,0.36,45.0,13.4,789.79,0.08,236.43
Март,4.78,1.15,0.36,45.0,87.47,791.05,0.07,861.37
Март,4.87,1.94,0.36,45.0,161.67,799.25,0.05,1501.27
Март,5.03,2.74,0.36,45.0,236.63,814.42,-0.0,2178.33
Март,5.27,3.55,0.36,45.0,313.02,836.61,-0.08,2915.68
Март,5.58,4.39,0.36,45.0,391.49,865.97,-0.17,3738.14
