PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2019,43.75,37.75,101.26,101.88,101.68,101.51,101.3,101.1,100.99,101.19,101.48,101.78,101.84,101.71,101.47
PS,2019,43.75,38.25,101.23,101.82,101.62,101.46,101.25,101.04,100.92,101.12,101.41,101.72,101.79,101.67,101.42
PS,2019,43.75,38.75,101.08,101.64,101.44,101.28,101.08,100.86,100.73,100.93,101.22,101.53,101.63,101.5,101.24
PS,2019,43.75,39.25,98.85,99.36,99.17,99.05,98.9,98.72,98.58,98.78,99.05,99.32,99.41,99.25,99.03
PS,2019,43.75,39.75,94.25,94.72,94.52,94.49,94.46,94.37,94.2,94.42,94.61,94.84,94.9,94.66,94.53
PS,2019,43.75,40.25,88.7,89.14,88.96,89.04,89.13,89.16,88.95,89.2,89.29,89.49,89.48,89.15,89.14
PS,2019,43.75,40.75,84.35,84.77,84.59,84.78,84.97,85.09,84.84,85.12,85.12,85.3,85.25,84.84,84.92
PS,2019,43.75,41.25,84.01,84.42,84.24,84.45,84.64,84.77,84.51,84.8,84.8,84.97,84.92,84.5,84.58
PS,2019,44.25,37.75,100.84,101.46,101.24,101.11,100.89,100.71,100.59,100.81,101.1,101.39,101.46,101.3,101.07
PS,2019,44.25,38.25,100.46,101.05,100.84,100.71,100.5,100.33,100.19,100.41,100.7,100.99,101.08,100.91,100.68
PS,2019,44.25,38.75,99.87,100.44,100.22,100.11,99.92,99.74,99.6,99.82,100.1,100.38,100.49,100.32,100.08
PS,2019,44.25,39.25,97.61,98.14,97.93,97.86,97.72,97.6,97.44,97.66,97.92,98.17,98.26,98.05,97.86
PS,2019,44.25,39.75,94.36,94.87,94.66,94.66,94.6,94.54,94.36,94.61,94.8,95.02,95.08,94.82,94.7
PS,2019,44.25,40.25,92.19,92.68,92.47,92.53,92.52,92.52,92.3,92.57,92.73,92.92,92.98,92.66,92.59
PS,2019,44.25,40.75,91.7,92.18,91.97,92.06,92.05,92.07,91.84,92.12,92.26,92.45,92.52,92.18,92.12
PS,2019,44.25,41.25,92.04,92.5,92.29,92.39,92.37,92.38,92.14,92.43,92.58,92.77,92.87,92.51,92.44
PS,2019,44.75,37.75,100.45,101.1,100.85,100.76,100.51,100.38,100.23,100.48,100.77,101.04,101.14,100.94,100.72
PS,2019,44.75,38.25,100.13,100.76,100.5,100.42,100.19,100.05,99.89,100.15,100.44,100.7,100.83,100.62,100.39
PS,2019,44.75,38.75,99.81,100.41,100.15,100.08,99.85,99.72,99.54,99.81,100.1,100.36,100.5,100.28,100.05
PS,2019,44.75,39.25,99.37,99.95,99.7,99.64,99.42,99.3,99.11,99.39,99.68,99.92,100.08,99.84,99.61
PS,2019,44.75,39.75,98.93,99.48,99.23,99.19,98.98,98.87,98.67,98.95,99.24,99.47,99.64,99.39,99.17
PS,2019,44.75,40.25,98.33,98.86,98.61,98.59,98.39,98.29,98.09,98.37,98.65,98.88,99.06,98.78,98.57
PS,2019,44.75,40.75,97.59,98.1,97.85,97.85,97.68,97.59,97.37,97.66,97.93,98.15,98.35,98.04,97.84
PS,2019,44.75,41.25,96.91,97.39,97.15,97.18,97.02,96.94,96.71,97.01,97.27,97.48,97.7,97.35,97.17
PS,2019,45.25,37.75,100.87,101.55,101.25,101.2,100.9,100.8,100.62,100.92,101.22,101.47,101.62,101.38,101.15
PS,2019,45.25,38.25,100.89,101.54,101.25,101.2,100.9,100.79,100.6,100.9,101.21,101.46,101.64,101.39,101.14
PS,2019,45.25,38.75,100.93,101.55,101.25,101.21,100.91,100.8,100.59,100.89,101.22,101.46,101.67,101.41,101.15
PS,2019,45.25,39.25,100.78,101.38,101.08,101.04,100.75,100.63,100.42,100.73,101.05,101.3,101.53,101.25,100.99
PS,2019,45.25,39.75,100.5,101.06,100.77,100.74,100.46,100.34,100.12,100.43,100.76,100.99,101.25,100.95,100.69
PS,2019,45.25,40.25,100.07,100.61,100.32,100.31,100.05,99.92,99.69,100.01,100.34,100.56,100.84,100.52,100.27
PS,2019,45.25,40.75,99.55,100.06,99.78,99.79,99.54,99.42,99.18,99.51,99.83,100.04,100.35,99.99,99.75
PS,2019,45.25,41.25,99.02,99.5,99.22,99.25,99.01,98.9,98.64,98.98,99.3,99.51,99.84,99.44,99.22
PS,2019,45.75,37.75,101.27,101.95,101.62,101.62,101.27,101.2,100.98,101.32,101.62,101.85,102.07,101.77,101.54
PS,2019,45.75,38.25,101.27,101.92,101.58,101.58,101.24,101.16,100.93,101.27,101.59,101.82,102.06,101.76,101.51
PS,2019,45.75,38.75,101.18,101.8,101.46,101.47,101.14,101.04,100.8,101.15,101.48,101.7,101.97,101.66,101.4
PS,2019,45.75,39.25,100.96,101.55,101.22,101.23,100.91,100.81,100.56,100.91,101.24,101.47,101.76,101.43,101.17
PS,2019,45.75,39.75,100.7,101.26,100.93,100.95,100.65,100.54,100.28,100.64,100.97,101.19,101.51,101.16,100.89
PS,2019,45.75,40.25,100.45,100.99,100.66,100.69,100.4,100.29,100.02,100.38,100.72,100.93,101.28,100.9,100.64
PS,2019,45.75,40.75,100.27,100.78,100.45,100.49,100.21,100.1,99.81,100.18,100.52,100.73,101.12,100.7,100.44
PS,2019,45.75,41.25,100.18,100.66,100.33,100.38,100.1,99.98,99.69,100.07,100.41,100.62,101.05,100.59,100.33
PS,2019,46.25,37.75,101.26,101.95,101.57,101.63,101.25,101.22,100.94,101.33,101.63,101.84,102.11,101.76,101.54
PS,2019,46.25,38.25,101.23,101.89,101.51,101.57,101.2,101.16,100.87,101.26,101.57,101.78,102.08,101.72,101.48
PS,2019,46.25,38.75,101.15,101.77,101.39,101.45,101.1,101.04,100.75,101.14,101.46,101.67,102.0,101.63,101.38
PS,2019,46.25,39.25,100.97,101.57,101.19,101.26,100.91,100.85,100.55,100.94,101.27,101.48,101.83,101.44,101.18
PS,2019,46.25,39.75,100.8,101.36,100.99,101.07,100.73,100.66,100.36,100.75,101.08,101.29,101.67,101.25,101.0
PS,2019,46.25,40.25,100.63,101.16,100.79,100.87,100.55,100.48,100.16,100.56,100.9,101.09,101.52,101.07,100.81
PS,2019,46.25,40.75,100.52,101.03,100.65,100.75,100.43,100.35,100.02,100.43,100.77,100.97,101.43,100.95,100.69
PS,2019,46.25,41.25,100.62,101.1,100.72,100.81,100.5,100.41,100.07,100.48,100.84,101.04,101.54,101.03,100.76
PS,2019,46.75,37.75,101.09,101.76,101.34,101.46,101.06,101.09,100.74,101.17,101.46,101.66,101.98,101.58,101.36
