PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2019,58.75,27.75,99.8,100.54,99.75,101.75,100.59,101.07,100.2,100.9,100.62,100.28,100.75,99.88,100.5
PS,2019,58.75,28.25,99.73,100.46,99.68,101.67,100.51,100.99,100.11,100.82,100.55,100.21,100.7,99.81,100.43
PS,2019,58.75,28.75,99.58,100.3,99.53,101.52,100.37,100.85,99.96,100.68,100.41,100.06,100.58,99.67,100.29
PS,2019,58.75,29.25,99.51,100.21,99.45,101.44,100.3,100.77,99.87,100.6,100.34,99.98,100.52,99.59,100.21
PS,2019,58.75,29.75,99.53,100.22,99.48,101.46,100.32,100.79,99.87,100.62,100.36,100.0,100.57,99.62,100.23
PS,2019,58.75,30.25,99.65,100.33,99.59,101.57,100.43,100.89,99.96,100.72,100.47,100.11,100.71,99.74,100.34
PS,2019,58.75,30.75,99.81,100.47,99.74,101.72,100.57,101.02,100.09,100.85,100.61,100.25,100.88,99.89,100.48
PS,2019,58.75,31.25,99.91,100.55,99.83,101.8,100.66,101.1,100.16,100.93,100.7,100.34,100.99,99.99,100.58
PS,2019,58.75,31.75,99.88,100.51,99.8,101.76,100.62,101.06,100.11,100.88,100.66,100.3,100.97,99.96,100.54
PS,2019,58.75,32.25,99.64,100.26,99.56,101.52,100.4,100.83,99.87,100.65,100.43,100.07,100.76,99.73,100.3
PS,2019,58.75,32.75,99.27,99.88,99.19,101.14,100.05,100.47,99.51,100.28,100.07,99.7,100.41,99.36,99.94
PS,2019,58.75,33.25,98.86,99.45,98.79,100.74,99.66,100.08,99.11,99.89,99.67,99.3,100.02,98.96,99.54
PS,2019,58.75,33.75,98.55,99.13,98.48,100.43,99.37,99.78,98.81,99.58,99.38,98.99,99.74,98.66,99.24
PS,2019,58.75,34.25,98.49,99.05,98.42,100.36,99.31,99.71,98.73,99.5,99.31,98.92,99.7,98.6,99.17
PS,2019,58.75,34.75,98.51,99.05,98.43,100.36,99.32,99.71,98.73,99.5,99.31,98.92,99.73,98.62,99.18
PS,2019,58.75,35.25,98.6,99.13,98.52,100.44,99.41,99.78,98.8,99.57,99.39,99.01,99.84,98.71,99.26
PS,2019,59.25,27.75,99.93,100.66,99.87,101.94,100.75,101.22,100.37,101.04,100.75,100.41,100.92,99.99,100.65
PS,2019,59.25,28.25,99.87,100.58,99.8,101.87,100.68,101.15,100.29,100.97,100.69,100.34,100.88,99.92,100.58
PS,2019,59.25,28.75,99.61,100.31,99.54,101.6,100.43,100.9,100.03,100.72,100.44,100.08,100.64,99.67,100.32
PS,2019,59.25,29.25,99.37,100.06,99.31,101.36,100.19,100.67,99.78,100.49,100.21,99.85,100.42,99.43,100.09
PS,2019,59.25,29.75,99.39,100.07,99.32,101.37,100.21,100.67,99.78,100.5,100.23,99.86,100.46,99.45,100.1
PS,2019,59.25,30.25,99.52,100.19,99.45,101.5,100.34,100.79,99.89,100.62,100.36,99.99,100.61,99.59,100.23
PS,2019,59.25,30.75,99.69,100.33,99.61,101.65,100.49,100.93,100.02,100.76,100.5,100.14,100.79,99.74,100.38
PS,2019,59.25,31.25,99.83,100.46,99.74,101.78,100.62,101.05,100.13,100.88,100.63,100.26,100.94,99.88,100.51
PS,2019,59.25,31.75,99.84,100.46,99.75,101.78,100.63,101.05,100.12,100.88,100.64,100.27,100.97,99.9,100.52
PS,2019,59.25,32.25,99.72,100.33,99.63,101.65,100.51,100.93,99.99,100.75,100.52,100.14,100.87,99.78,100.4
PS,2019,59.25,32.75,99.48,100.08,99.39,101.41,100.29,100.7,99.76,100.52,100.29,99.91,100.65,99.55,100.16
PS,2019,59.25,33.25,99.14,99.73,99.06,101.07,99.96,100.37,99.42,100.18,99.95,99.57,100.33,99.22,99.83
PS,2019,59.25,33.75,98.7,99.28,98.62,100.63,99.55,99.95,98.99,99.76,99.53,99.14,99.91,98.79,99.4
PS,2019,59.25,34.25,98.46,99.03,98.38,100.39,99.32,99.71,98.76,99.52,99.3,98.9,99.69,98.56,99.16
PS,2019,59.25,34.75,98.45,98.99,98.36,100.36,99.31,99.68,98.72,99.48,99.27,98.87,99.69,98.54,99.14
PS,2019,59.25,35.25,98.54,99.07,98.45,100.44,99.4,99.75,98.79,99.55,99.35,98.95,99.81,98.64,99.22
PS,2019,59.75,27.75,100.21,100.91,100.13,102.26,101.04,101.5,100.68,101.31,101.02,100.67,101.22,100.22,100.93
PS,2019,59.75,28.25,100.1,100.8,100.02,102.15,100.94,101.39,100.56,101.21,100.92,100.57,101.13,100.12,100.82
PS,2019,59.75,28.75,99.84,100.52,99.76,101.88,100.68,101.13,100.29,100.95,100.66,100.31,100.89,99.86,100.56
PS,2019,59.75,29.25,99.59,100.27,99.51,101.63,100.44,100.89,100.04,100.72,100.43,100.07,100.67,99.63,100.32
PS,2019,59.75,29.75,99.62,100.28,99.54,101.66,100.46,100.91,100.05,100.74,100.46,100.09,100.72,99.65,100.34
PS,2019,59.75,30.25,99.73,100.37,99.64,101.75,100.56,101.0,100.13,100.83,100.56,100.18,100.84,99.76,100.44
PS,2019,59.75,30.75,99.83,100.46,99.74,101.84,100.66,101.09,100.21,100.92,100.65,100.28,100.96,99.86,100.54
PS,2019,59.75,31.25,99.98,100.6,99.88,101.98,100.79,101.21,100.32,101.04,100.78,100.41,101.12,100.01,100.67
PS,2019,59.75,31.75,99.97,100.57,99.86,101.95,100.78,101.19,100.29,101.02,100.77,100.39,101.12,100.0,100.65
PS,2019,59.75,32.25,99.91,100.51,99.8,101.89,100.73,101.12,100.22,100.96,100.71,100.33,101.08,99.95,100.6
PS,2019,59.75,32.75,99.8,100.38,99.69,101.77,100.62,101.01,100.1,100.85,100.6,100.21,100.99,99.84,100.48
PS,2019,59.75,33.25,99.57,100.15,99.47,101.54,100.41,100.79,99.87,100.62,100.37,99.99,100.78,99.62,100.26
PS,2019,59.75,33.75,99.12,99.69,99.03,101.1,99.98,100.36,99.44,100.19,99.94,99.55,100.35,99.19,99.82
PS,2019,59.75,34.25,98.6,99.16,98.51,100.57,99.48,99.86,98.93,99.68,99.43,99.03,99.85,98.67,99.31
PS,2019,59.75,34.75,98.32,98.87,98.24,100.3,99.23,99.59,98.66,99.41,99.17,98.76,99.6,98.41,99.04
PS,2019,59.75,35.25,98.22,98.76,98.14,100.19,99.13,99.48,98.55,99.29,99.06,98.65,99.52,98.31,98.94
PS,2019,60.25,27.75,100.22,100.89,100.11,102.3,101.05,101.49,100.72,101.31,101.02,100.68,101.25,100.19,100.93
PS,2019,60.25,28.25,100.21,100.87,100.09,102.28,101.04,101.48,100.69,101.3,101.01,100.66,101.26,100.19,100.92
PS,2019,60.25,28.75,100.1,100.76,99.99,102.17,100.94,101.38,100.58,101.2,100.91,100.56,101.18,100.09,100.82
PS,2019,60.25,29.25,99.95,100.6,99.84,102.02,100.79,101.23,100.42,101.06,100.77,100.41,101.05,99.94,100.67
PS,2019,60.25,29.75,99.89,100.52,99.78,101.95,100.73,101.16,100.34,100.99,100.71,100.34,101.0,99.88,100.6
PS,2019,60.25,30.25,99.91,100.54,99.8,101.96,100.75,101.17,100.34,101.01,100.73,100.36,101.05,99.91,100.62
PS,2019,60.25,30.75,100.01,100.63,99.9,102.06,100.85,101.25,100.42,101.1,100.82,100.45,101.17,100.01,100.72
PS,2019,60.25,31.25,100.18,100.78,100.06,102.21,101.01,101.4,100.56,101.25,100.98,100.61,101.35,100.18,100.87
PS,2019,60.25,31.75,100.21,100.8,100.08,102.23,101.04,101.42,100.57,101.27,101.0,100.63,101.39,100.21,100.9
PS,2019,60.25,32.25,100.16,100.74,100.04,102.18,101.0,101.37,100.51,101.22,100.95,100.57,101.36,100.17,100.85
PS,2019,60.25,32.75,100.04,100.61,99.91,102.05,100.88,101.24,100.37,101.09,100.83,100.44,101.25,100.05,100.72
PS,2019,60.25,33.25,99.8,100.36,99.68,101.81,100.65,101.01,100.13,100.85,100.59,100.21,101.03,99.82,100.49
PS,2019,60.25,33.75,99.39,99.95,99.28,101.41,100.27,100.62,99.74,100.47,100.21,99.81,100.64,99.43,100.1
PS,2019,60.25,34.25,98.8,99.36,98.7,100.82,99.71,100.06,99.17,99.9,99.64,99.23,100.08,98.85,99.52
PS,2019,60.25,34.75,98.35,98.9,98.26,100.37,99.29,99.63,98.74,99.46,99.21,98.79,99.64,98.42,99.08
PS,2019,60.25,35.25,98.11,98.65,98.02,100.13,99.07,99.39,98.5,99.23,98.97,98.55,99.43,98.19,98.85
PS,2019,60.75,27.75,99.81,100.44,99.67,101.9,100.64,101.07,100.35,100.9,100.61,100.27,100.86,99.75,100.52
PS,2019,60.75,28.25,99.88,100.51,99.74,101.97,100.71,101.14,100.41,100.98,100.68,100.34,100.95,99.82,100.59
PS,2019,60.75,28.75,99.91,100.53,99.77,102.0,100.75,101.17,100.42,101.01,100.72,100.37,101.0,99.86,100.62
PS,2019,60.75,29.25,99.88,100.49,99.74,101.96,100.72,101.13,100.38,100.98,100.69,100.34,100.99,99.83,100.59
PS,2019,60.75,29.75,99.87,100.48,99.73,101.95,100.72,101.12,100.36,100.97,100.68,100.33,101.01,99.83,100.58
PS,2019,60.75,30.25,99.97,100.57,99.83,102.05,100.82,101.21,100.44,101.07,100.78,100.42,101.13,99.94,100.68
PS,2019,60.75,30.75,100.16,100.74,100.01,102.22,101.0,101.38,100.6,101.24,100.95,100.59,101.33,100.12,100.86
PS,2019,60.75,31.25,100.29,100.86,100.13,102.34,101.12,101.49,100.7,101.35,101.07,100.71,101.47,100.25,100.98
PS,2019,60.75,31.75,100.34,100.91,100.19,102.39,101.18,101.53,100.73,101.4,101.12,100.75,101.54,100.31,101.03
PS,2019,60.75,32.25,100.24,100.8,100.09,102.28,101.09,101.43,100.62,101.3,101.02,100.65,101.46,100.21,100.93
