Месяц,x1,x2,x2_origin,x3,y,y_specific,efficiency_factor,normalized_values
Март,4.84,1.78,0.2,45.0,1367.87,153.69,3.5679,0.1314
Март,4.99,2.58,0.2,45.0,2034.6,157.72,2.4502,0.0739
Март,5.21,3.39,0.2,45.0,2756.74,162.64,1.8417,0.0427
Март,4.87,1.94,0.36,45.0,1501.27,278.59,10.6154,0.4936
Март,5.03,2.74,0.36,45.0,2178.33,286.2,7.4757,0.3323
Март,4.9,2.1,0.52,45.0,1635.58,405.0,20.4665,1.0
Март,5.08,2.9,0.52,45.0,2323.46,416.62,14.7056,0.7039
Окт,4.96,5.17,0.2,44.98,4126.92,159.65,1.2452,0.012
Окт,5.07,5.36,0.36,44.98,4333.31,291.04,3.8555,0.1462
Окт,5.18,5.55,0.52,44.98,4543.6,425.71,7.7001,0.3438
Нояб,4.83,6.45,0.2,44.98,5081.48,157.57,1.0116,0.0
Нояб,5.0,6.67,0.36,44.99,5361.93,289.4,3.124,0.1086
Нояб,5.17,6.9,0.52,44.99,5649.43,425.75,6.2061,0.267
